Compound ID,InChIKey,SMILES
C2826,AABQVBFXZKSBOW-UHFFFAOYSA-N,CCOC(=O)c1c(C)ccc(c1OCC(=O)OCCN1CCCCC1)C(C)C
C4684,AABXRENNINHJOR-UHFFFAOYSA-N,CCN(CCOC(=O)CC(c1ccccc1)(c1ccccc1)O)CC.Cl
C435,AAEVYOVXGOFMJO-UHFFFAOYSA-N,CSc1nc(NC(C)C)nc(n1)NC(C)C
C9865,AAFJXZWCNVJTMK-UHFFFAOYSA-N,OC(C(C1OC1)O)C1OC1
C4017,AAMVKUKGQPPIMG-NEPJUHHUSA-N,OC[C@@H](CN(c1c(I)c(C(=O)NC(CO)CO)c(c(c1I)N([C@H](CO)O)C(=O)C)I)C(=O)C)O
C1921,AANKDJLVHZQCFG-KVHNBARJSA-N,O[C@H]1CC[C@]2(C(=CC[C@@H]3[C@@H]2C[C@H](O)[C@]2([C@H]3C[C@H]3[C@@H]2[C@H](C)[C@@H]2N3C[C@H](CC2)C)C)C1)C
C8162,AANLIOPOVSJZLY-UHFFFAOYSA-N,[O-][N+](=O)c1nccn1CC(CCl)O
C1402,AANUQVPVSJJCRI-UHFFFAOYSA-N,Clc1cnc2c(n1)ncnc2
C6277,AAOQURPCQWSPJM-UHFFFAOYSA-N,CC(C(C(C)C)(COC(=O)N)COC(=O)N)C
C506,AAOVKJBEBIDNHE-UHFFFAOYSA-N,Clc1ccc2c(c1)C(=NCC(=O)N2C)c1ccccc1
C6992,AAPPQBJWIDZNGZ-MDZDMXLPSA-N,O=C1C=CC=C/C/1=C\Nc1ccccc1O
C7967,AAQFEENIXHFFDP-UHFFFAOYSA-N,OCC(COc1ccccc1OC)(CO)CO
C3566,AAQRTKVNHBMDLP-UHFFFAOYSA-N,CC(CCOc1ccc(cc1)C(=O)CCN1CCCCC1)C.Cl
C4620,AAVUTVAWYYKIJW-UHFFFAOYSA-N,CC([NH+]1CCCC1)CN1C(=O)C(C)Oc2c1cc(Cl)cc2.OC(=O)C(=O)[O-]
C588,AAXVEMMRQDVLJB-NGGQNULTSA-N,OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@@H](O)[C@]1([C@H]2CCC2=CC(=O)CC[C@]12C)F
C7954,AAYHAFZXFMIUSN-UHFFFAOYSA-N,NS(=O)(=O)C1CCCCC1
C2531,AAZHUVOGSCDTKW-UHFFFAOYSA-N,OC(=O)C(=O)[O-].COc1ccc2c(c1)n(CCC[NH+](C)C)c1c2ccc(c1)Cl
C9058,ABBQHOQBGMUPJH-UHFFFAOYSA-M,[O-]C(=O)c1ccccc1O.[Na+]
C3049,ABEJUCOJRRLTMS-UHFFFAOYSA-L,NC1CCCCC1.NC1CCCCC1.[Cl-].[Cl-].[Pt+2]
C5918,ABFRBTDJEKZSRM-UHFFFAOYSA-N,OC(C(Cl)(Cl)Cl)c1ccccc1
C3386,ABGIIXRNMHUKII-DHZHZOJOSA-N,Clc1ccc(cc1)/C=C/C(=O)c1ccccc1
C8002,ABGJIKXMJUSARA-UHFFFAOYSA-N,OCCn1c(CC)cnc1[N+](=O)[O-]
C977,ABICJYZKIYUWEE-UHFFFAOYSA-N,O=C1NC(=O)C(C(=O)N1)[N+](=O)[O-]
C4426,ABIRUZQLXKXPPK-UHFFFAOYSA-M,CCOCC(Oc1ccccc1)(OC(=O)CCC(=O)[O-])C.[Na+]
C3310,ABQKHKWXTUVKGF-UHFFFAOYSA-N,S=C=Nc1ccc(cc1)C
C7649,ABSDZQDZDHJMPX-UHFFFAOYSA-N,CCCCOCC(COCCCC)O
C8454,ABTXGJFUQRCPNH-UHFFFAOYSA-N,CCN(CCNC(=O)c1ccc(cc1)N)CC.Cl
C5568,ABUKMOCUMIPDHV-UHFFFAOYSA-N,OC(=O)C(c1ccccc1)Oc1ccccc1
C3918,ABVVEAHYODGCLZ-UHFFFAOYSA-N,CCCCCCCCCCCCCN
C9179,ABWLRVJYVVQTGQ-BJMVGYQFSA-N,NC(=S)N/N=C/c1cccnc1
C6617,ABZLDANJLQFTLS-UHFFFAOYSA-N,CCc1cnc(n1CCOC(=O)CCC(=O)O)[N+](=O)[O-]
C2741,ACAOEWIACGUWHC-UHFFFAOYSA-N,CC[NH+](CCNC(=O)C1c2ccccc2c2c1cccc2)CC.[Cl-]
C4835,ACAZKHULUUVWCY-JFGNBEQYSA-N,CCCCCC(=O)N[C@@H]1C(=O)N2[C@@H]1SC([C@@H]2C(=O)O)(C)C
C1163,ACBMYYVZWKYLIP-UHFFFAOYSA-N,CCCCCC(O)(C)C
C3612,ACEUSLHTMXRCST-UHFFFAOYSA-L,C[N+]1(CCC[N+]2(C)CCCC2)CC2CCCC(C1)C2.[I-].[I-]
C6201,ACFHHZJOAUZSJU-XBXARRHUSA-N,CC(=O)N/N=C/c1ccc(o1)[N+](=O)[O-]
C5139,ACFSLNOJYWCHEO-UHFFFAOYSA-N,OCCN1CCN(CC1)CC(COc1c(ccc(c1C(=O)OC)C)C(C)C)O
C4896,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Clc1cc(Cl)c(c(c1O)Cc1c(O)c(Cl)cc(c1Cl)Cl)Cl
C7421,ACIVXVCFXWJISJ-UHFFFAOYSA-N,CCC(C(=O)NC(=O)N)(CC)Cl
C3984,ACIZPTCLQKKZKN-UHFFFAOYSA-N,CCC(=O)C(c1ccccc1)(c1ccccc1)CCC[NH+](C)C.[Cl-]
C8615,ACJHFLOITZTLEZ-UHFFFAOYSA-N,CCN(CC(COC(=O)N)(COC(=O)N)CC)CC
C3556,ACMQQWTWVVNMCB-LJLRIERRSA-N,CN([C@@H]1C[C@H](N(C1=O)c1ccccc1)C)CCc1ccccc1.[O-][N+](=O)c1ccc(cc1)N1N=C(C(C1=O)[N+](=O)[O-])C
C3557,ACMQQWTWVVNMCB-ZKKBRJJYSA-N,CN([C@@H]1C[C@@H](N(C1=O)c1ccccc1)C)CCc1ccccc1.[O-][N+](=O)c1ccc(cc1)N1N=C(C(C1=O)[N+](=O)[O-])C
C6870,ACRBVLNVNAEIRT-UHFFFAOYSA-N,CCCC(COC(=O)N(C)C)(CO)C
C2852,ACRMUSVWIFZVSM-JTHHODAVSA-N,C[C@@H](C(C(=O)N1CCCC1)(c1ccccc1)c1ccccc1)CN1CCOCC1.O[C@H]([C@H](C(=O)O)O)C(=O)O
C5879,ACSIXWWBWUQEHA-UHFFFAOYSA-N,ClC(P(=O)(O)O)(P(=O)(O)O)Cl
C1711,ACTIUHUUMQJHFO-UPTCCGCDSA-N,COC1=C(OC)C(=O)C(=C(C1=O)C/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)\C)\C)\C)\C)\C)\C)\C)C
C9239,ACTRVOBWPAIOHC-XIXRPRMCSA-N,S[C@H]([C@@H](C(=O)O)S)C(=O)O
C3872,ACUALSMYKRGSLK-UHFFFAOYSA-N,CC[NH+](CCOC(=O)C1(O)c2ccccc2c2c1cccc2)CC.[Cl-]
