Name,Octanol-water partition coefficient,Molecular weight,Number of rotatable bonds,HAcceptors,HDonor,valence Electron,Aromatic Proportion,logS
AABQVBFXZKSBOW-UHFFFAOYSA-N,3.703020000000003,391.50800000000027,9.0,6.0,0.0,156.0,0.21428571428571427,-5.318582792
AABXRENNINHJOR-UHFFFAOYSA-N,3.619400000000003,377.9120000000001,9.0,4.0,1.0,142.0,0.46153846153846156,-3.6150178989999997
AAEVYOVXGOFMJO-UHFFFAOYSA-N,2.2340999999999998,241.364,5.0,6.0,2.0,90.0,0.375,-4.099999899999999
AAFJXZWCNVJTMK-UHFFFAOYSA-N,-1.4942000000000004,146.14199999999997,3.0,4.0,2.0,58.0,0.0,0.833745836
AAMVKUKGQPPIMG-NEPJUHHUSA-N,-1.0469000000000006,821.1410000000001,11.0,9.0,7.0,192.0,0.17647058823529413,-4.1007705869999995
AANKDJLVHZQCFG-KVHNBARJSA-N,4.625800000000004,413.64600000000024,0.0,3.0,2.0,168.0,0.0,-7.695983827999999
AANLIOPOVSJZLY-UHFFFAOYSA-N,0.39099999999999985,205.601,4.0,5.0,1.0,72.0,0.38461538461538464,-1.2188973109999999
AANUQVPVSJJCRI-UHFFFAOYSA-N,1.0732,166.57100000000003,0.0,4.0,0.0,54.0,0.9090909090909091,-0.87
AAOQURPCQWSPJM-UHFFFAOYSA-N,1.4754000000000003,246.30699999999996,6.0,4.0,2.0,100.0,0.0,-2.5494919680000003
AAOVKJBEBIDNHE-UHFFFAOYSA-N,3.1538000000000013,284.746,1.0,2.0,0.0,100.0,0.6,-3.75
AAPPQBJWIDZNGZ-MDZDMXLPSA-N,2.383100000000001,213.23600000000002,2.0,3.0,2.0,80.0,0.375,-2.090814404
AAQFEENIXHFFDP-UHFFFAOYSA-N,0.0373,242.27099999999996,7.0,5.0,3.0,96.0,0.35294117647058826,-1.397529698
AAQRTKVNHBMDLP-UHFFFAOYSA-N,4.592000000000005,339.9070000000001,8.0,3.0,0.0,130.0,0.2608695652173913,-4.470658422
AAVUTVAWYYKIJW-UHFFFAOYSA-N,-0.6579999999999979,398.84300000000013,3.0,5.0,2.0,148.0,0.2222222222222222,-3.656316035
AAXVEMMRQDVLJB-NGGQNULTSA-N,1.8736999999999997,380.4560000000002,2.0,5.0,3.0,150.0,0.0,-3.4300001000000004
AAYHAFZXFMIUSN-UHFFFAOYSA-N,0.6075999999999999,163.24199999999996,1.0,2.0,1.0,60.0,0.0,-1.413472734
AAZHUVOGSCDTKW-UHFFFAOYSA-N,0.812,406.8660000000001,5.0,5.0,2.0,150.0,0.4642857142857143,-5.779501512
ABBQHOQBGMUPJH-UHFFFAOYSA-M,-3.240299999999999,160.10399999999998,1.0,3.0,1.0,52.0,0.5454545454545454,-0.107492169
ABEJUCOJRRLTMS-UHFFFAOYSA-L,-3.438899999999996,464.33799999999997,0.0,2.0,2.0,108.0,0.0,-5.046698181
ABFRBTDJEKZSRM-UHFFFAOYSA-N,3.090200000000001,225.50200000000004,1.0,1.0,1.0,66.0,0.5,-2.76880184
ABGIIXRNMHUKII-DHZHZOJOSA-N,4.236100000000002,242.70499999999998,3.0,1.0,0.0,84.0,0.7058823529411765,-4.644710666
ABGJIKXMJUSARA-UHFFFAOYSA-N,0.34599999999999986,185.183,4.0,5.0,1.0,72.0,0.38461538461538464,-1.3591160969999998
ABICJYZKIYUWEE-UHFFFAOYSA-N,-2.0023,173.08399999999997,1.0,5.0,2.0,64.0,0.0,-2.28
ABIRUZQLXKXPPK-UHFFFAOYSA-M,-2.104599999999996,318.30100000000004,9.0,6.0,0.0,116.0,0.2727272727272727,-3.782678686
ABQKHKWXTUVKGF-UHFFFAOYSA-N,2.7293200000000004,149.218,1.0,2.0,0.0,50.0,0.6,-4.721247778
ABSDZQDZDHJMPX-UHFFFAOYSA-N,1.9807000000000001,204.30999999999995,10.0,3.0,1.0,86.0,0.0,-1.6263424930000001
ABTXGJFUQRCPNH-UHFFFAOYSA-N,1.7621999999999995,271.792,6.0,3.0,2.0,102.0,0.3333333333333333,-0.937717357
ABUKMOCUMIPDHV-UHFFFAOYSA-N,2.891300000000001,228.247,4.0,2.0,1.0,86.0,0.7058823529411765,-3.0004702119999997
ABVVEAHYODGCLZ-UHFFFAOYSA-N,4.256100000000003,199.38199999999995,11.0,1.0,1.0,86.0,0.0,-4.161699215
ABWLRVJYVVQTGQ-BJMVGYQFSA-N,0.24869999999999998,180.23600000000002,2.0,3.0,2.0,62.0,0.5,0.10590316300000001
ABZLDANJLQFTLS-UHFFFAOYSA-N,0.7617,285.256,8.0,7.0,1.0,110.0,0.25,-2.3346608719999997
ACAOEWIACGUWHC-UHFFFAOYSA-N,-1.1561999999999963,344.8860000000001,6.0,1.0,2.0,128.0,0.5,-5.4477666760000005
ACAZKHULUUVWCY-JFGNBEQYSA-N,1.1983999999999995,314.40700000000004,6.0,4.0,2.0,118.0,0.0,-3.516842956
ACBMYYVZWKYLIP-UHFFFAOYSA-N,2.3376,130.23099999999997,4.0,1.0,1.0,56.0,0.0,-1.72
ACEUSLHTMXRCST-UHFFFAOYSA-L,-3.108499999999994,520.281,4.0,0.0,0.0,126.0,0.0,-4.423982713
ACFHHZJOAUZSJU-XBXARRHUSA-N,0.6577999999999999,197.14999999999998,3.0,5.0,1.0,74.0,0.35714285714285715,-2.595826755
ACFSLNOJYWCHEO-UHFFFAOYSA-N,1.2546200000000003,394.51200000000017,9.0,7.0,2.0,158.0,0.21428571428571427,-3.284306346
ACGUYXCXAPNIKK-UHFFFAOYSA-N,6.609000000000002,406.9069999999999,2.0,2.0,2.0,112.0,0.5714285714285714,-3.463347924
ACIVXVCFXWJISJ-UHFFFAOYSA-N,0.9789000000000003,192.64599999999996,3.0,2.0,2.0,70.0,0.0,-1.802022555
