Name,Octanol-water partition coefficient,Molecular weight,Number of rotatable bonds,HAcceptors,HDonor,valence Electron,Aromatic Proportion,logS
ACTIUHUUMQJHFO-UPTCCGCDSA-N,17.853899999999975,863.3649999999997,31.0,4.0,0.0,350.0,0.0,-18.21769274
CQISYTXUORWJSX-UHFFFAOYSA-N,14.086599999999972,641.0819999999998,34.0,2.0,2.0,266.0,0.13043478260869565,-17.46845707
UXPYIAWFQKSHNV-UHFFFAOYSA-N,11.815599999999986,566.9520000000005,33.0,4.0,0.0,238.0,0.0,-16.25939172
BDIWFCKBPZPBQT-UHFFFAOYSA-N,10.411199999999992,612.1850000000002,20.0,1.0,0.0,164.0,0.0,-15.67628661
RNPXCFINMKSQPQ-UHFFFAOYSA-N,12.082599999999982,546.8580000000005,32.0,3.0,1.0,224.0,0.0,-15.20512017
FTQWRYSLUYAIRQ-UHFFFAOYSA-N,11.699299999999987,579.0110000000002,34.0,2.0,2.0,244.0,0.0,-14.93986516
YYGNTYWPHWGJRM-AAJYLUCBSA-N,10.60499999999999,410.7300000000003,15.0,0.0,0.0,170.0,0.0,-14.59236714
RYROWNOHCUSOKT-UHFFFAOYSA-N,11.105199999999986,849.7119999999999,31.0,8.0,2.0,266.0,0.2608695652173913,-14.5490503
SPJCRMJCFSJKDE-ZWBUGVOYSA-N,10.466299999999993,644.8120000000001,13.0,3.0,0.0,246.0,0.13636363636363635,-14.52387178
MSCCTZZBYHQMQJ-AZAGJHQNSA-N,9.748859999999997,535.8130000000003,14.0,4.0,0.0,216.0,0.3076923076923077,-13.79857364
SYKKEUORZVAILP-XPXLQCACSA-N,6.124270000000006,545.2960000000006,22.0,2.0,2.0,216.0,0.2631578947368421,-13.61935865
XVQDYVLXIXMLOS-UHFFFAOYSA-N,9.307220000000001,514.6220000000002,22.0,3.0,0.0,196.0,0.17647058823529413,-13.45141192
FIAFUQMPZJWCLV-UHFFFAOYSA-N,6.743240000000003,1297.3020000000004,16.0,17.0,12.0,448.0,0.5116279069767442,-13.25629814
NKNPHSJWQZXWIX-DCVDGXQQSA-N,7.582400000000009,793.0479999999998,4.0,12.0,0.0,320.0,0.0,-13.1457164
ZPBNOWWJKRKBEV-YZMZVZPOSA-N,5.828220000000008,858.9820000000003,8.0,14.0,6.0,334.0,0.1935483870967742,-12.83707405
SKEVFVQMAFMKEM-DYNGLPSQSA-N,5.344070000000006,517.2420000000005,20.0,2.0,2.0,204.0,0.2777777777777778,-12.576970699999999
ZAKOWWREFLAJOT-CEFNRUSXSA-N,9.059960000000002,472.7540000000004,13.0,3.0,0.0,194.0,0.17647058823529413,-12.55736392
VFBJXXJYHWLXRM-UHFFFAOYSA-N,8.672800000000006,642.9430000000003,12.0,7.0,2.0,252.0,0.26666666666666666,-12.15015633
GSMFFPAGZVRAPY-VLSXRWFESA-N,4.953970000000005,503.2150000000005,19.0,2.0,2.0,198.0,0.2857142857142857,-12.05632873
