InChIKey,Octanol-water partition coefficient,Molecular weight,Number of rotatable bonds,HAcceptors,HDonor,valence Electron,Aromatic Proportion,logS
"1,1,1,2-Tetrachloroethane",2.5954000000000006,167.85,0.0,0.0,0.0,38.0,0.0,-2.18
"1,1,1-Trichloroethane",2.376500000000001,133.405,0.0,0.0,0.0,32.0,0.0,-2.0
"1,1,2,2-Tetrachloroethane",2.5938,167.85,1.0,0.0,0.0,38.0,0.0,-1.74
"1,1,2-Trichloroethane",2.0289,133.405,1.0,0.0,0.0,32.0,0.0,-1.48
"1,1,2-Trichlorotrifluoroethane",2.9189,187.37500000000003,1.0,0.0,0.0,50.0,0.0,-3.04
"1,1-Dichloroethane",1.81,98.96000000000001,0.0,0.0,0.0,26.0,0.0,-1.29
"1,1-Dichloroethylene",1.9352,96.94399999999999,0.0,0.0,0.0,24.0,0.0,-1.64
"1,1-Diethoxyethane ",1.4054,118.176,4.0,2.0,0.0,50.0,0.0,-0.43
"1,2,3,4-Tetrachlorobenzene",4.3002,215.894,0.0,0.0,0.0,54.0,0.6,-4.57
"1,2,3,4-Tetrahydronapthalene",2.5654000000000003,132.20599999999996,0.0,0.0,0.0,52.0,0.6,-4.37
"1,2,3,5-Tetrachlorobenzene",4.3002,215.894,0.0,0.0,0.0,54.0,0.6,-4.63
"1,2,3-Trichlorobenzene",3.6468000000000007,181.44899999999998,0.0,0.0,0.0,48.0,0.6666666666666666,-4.0
"1,2,3-Trimethylbenzene ",2.611860000000001,120.195,0.0,0.0,0.0,48.0,0.6666666666666666,-3.2
"1,2,4,5-Tetrabromobenzene",4.7366,393.69800000000004,0.0,0.0,0.0,54.0,0.6,-6.98
"1,2,4,5-Tetrachlorobenzene",4.3002,215.894,0.0,0.0,0.0,54.0,0.6,-5.56
"1,2,4,5-Tetramethylbenzene",2.9202800000000018,134.22199999999998,0.0,0.0,0.0,54.0,0.6,-4.59
"1,2,4-tribromobenzene",3.974100000000001,314.802,0.0,0.0,0.0,48.0,0.6666666666666666,-4.5
