Name,Octanol-water partition coefficient,Molecular weight,Number of rotatable bonds,HAcceptors,HDonor,Aromatic Proportion,MolMR,logS
"N,N,N-trimethyloctadecan-1-aminium bromide",3.9581000000000017,392.5100000000002,17.0,0.0,0.0,0.0,102.44540000000008,-3.6161271205
Benzo[cd]indol-2(1H)-one,2.405500000000001,169.18299999999996,0.0,1.0,1.0,0.7692307692307693,51.90120000000002,-3.2547670983
4-chlorobenzaldehyde,2.1525,140.569,1.0,1.0,0.0,0.6666666666666666,36.839500000000015,-2.1770779444
"zinc bis[2-hydroxy-3,5-bis(1-phenylethyl)benzoate]",8.11610000000001,756.2260000000002,10.0,6.0,2.0,0.6792452830188679,200.71059999999952,-3.9244090954
"4-({4-[bis(oxiran-2-ylmethyl)amino]phenyl}methyl)-N,N-bis(oxiran-2-ylmethyl)aniline",2.4854000000000003,422.5250000000002,12.0,6.0,0.0,0.3870967741935484,119.07600000000004,-4.6620645831
vinyltoluene,2.638020000000001,118.17899999999999,1.0,0.0,0.0,0.6666666666666666,41.270000000000024,-3.1231503041
3-(3-ethylcyclopentyl)propanoic acid,2.6775,170.25199999999998,4.0,1.0,1.0,0.0,47.99180000000002,-3.286116314
"11,16,17,21-tetrahydroxypregna-1,4-diene-3,20-dione",0.5283999999999995,376.4490000000002,2.0,6.0,4.0,0.0,96.43820000000002,-2.6645485391
bis(4-fluorophenyl)methanone,3.195800000000001,218.202,2.0,1.0,0.0,0.75,56.232500000000016,-4.3966521847000015
1-[2-(benzoyloxy)propoxy]propan-2-yl benzoate 1-{[1-(benzoyloxy)propan-2-yl]oxy}propan-2-yl benzoate 2-{[1-(benzoyloxy)propan-2-yl]oxy}propyl benzoate,3.497200000000002,342.391,10.0,5.0,0.0,0.48,93.50200000000004,-4.595502563999999
4-(dimethylamino)benzaldehyde,1.5651,149.19299999999998,2.0,2.0,0.0,0.5454545454545454,46.15650000000002,-2.2827688499
2-methyl-1-phenylpropan-2-yl acetate,2.570800000000001,192.25800000000004,3.0,2.0,0.0,0.42857142857142855,55.991000000000035,-2.3946499685
"2,3-dimethylphenol; 2,4-dimethylphenol; 2,5-dimethylphenol; 2,6-dimethylphenol; 3,4-dimethylphenol; 3,5-dimethylphenol",12.05423999999998,733.0020000000002,0.0,6.0,6.0,0.6666666666666666,225.48479999999927,-1.9803097957
2-(4-tert-butylphenoxymethyl)oxirane,2.761700000000001,206.28499999999997,3.0,2.0,0.0,0.4,60.377000000000045,-3.4302388798
5-methoxy-1-[4-(trifluoromethyl)phenyl]pentan-1-one,3.7048000000000023,260.255,6.0,2.0,0.0,0.3333333333333333,61.50150000000003,-3.5440597008
"(2E)-3,7-dimethylocta-2,6-dien-1-ol",2.6714000000000016,154.253,4.0,1.0,1.0,0.0,49.50780000000003,-2.3206011661000003
