Name,Octanol-water partition coefficient,Molecular weight,Number of rotatable bonds,HAcceptors,HDonor,valence Electron,Aromatic Proportion,logS,Label,Difference
HIVLUCCOZZYOEF-UHFFFAOYSA-N,-2.0785,142.07,0,4,2,52,0,-1.25,-1.25,0
IOULHECGFCVGKE-UHFFFAOYSA-N,2.3056,129.247,6,1,1,56,0,-2.75,-2.75,0
JFGILDJCNBOAGG-UHFFFAOYSA-N,0.3259,132.115,4,2,2,52,0,1,1,0
KMPWYEUPVWOPIM-UHFFFAOYSA-N,2.3056,129.247,6,1,1,56,0,-2.75,-2.75,0
LJUBBLNHYXJKSN-UHFFFAOYSA-N,0.3259,132.115,4,2,2,52,0,1,1,0
NZPIUJUFIFZSPW-UHFFFAOYSA-H,-8.4242,585.608,10,17,13,234,0,-0.5,-0.5,0
PBBGSZCBWVPOOL-HDICACEKSA-N,1.6393,250.298,2,3,2,98,0,-3,-3,0
PFDVPCSDZXZDMF-UHFFFAOYSA-N,4.3655,356.418,4,2,1,128,0.48,-4.5,-4.5,0
QTENRWWVYAAPBI-YCRXJPFRSA-N,1.8812,92.569,1,0,0,32,0,-2,-2,0
SIZDUQQDBXJXLQ-UHFFFAOYSA-N,2.2496,261.062,1,1,1,58,0.5454545455,-3.25,-3.25,0
UGCSPKPEHQEOSR-UHFFFAOYSA-N,1.5385,113.204,1,1,1,48,0,-1.5,-1.5,0
VAUVEZMZAPNZOT-UHFFFAOYSA-N,1.8812,92.569,1,0,0,32,0,-2,-2,0
XDEYTBJLAPSTGO-UHFFFAOYSA-N,2.2496,261.062,1,1,1,58,0.5454545455,-3.25,-3.25,0
VXQHWNOTPARMJB-INEOJGKQSA-N,-0.7564,303.168,1,1,0,68,0.8461538462,-0.017780356,-0.01778035611,0.0000000001091422994
XQRALZKQYRLRST-UHFFFAOYSA-N,-0.7564,303.168,1,1,0,68,0.8461538462,-0.017780356,-0.01778035611,0.0000000001091422994
APUYIVHTTCCVMF-UHFFFAOYSA-N,2.1725,213.034,0,3,1,56,0.8181818182,-2.726388931,-2.726388931,0.0000000002744102723
HMSWAIKSFDFLKN-UHFFFAOYSA-N,2.1725,213.034,0,3,1,56,0.8181818182,-2.726388931,-2.726388931,0.0000000002744102723
HKPHPIREJKHECO-UHFFFAOYSA-N,0.9722,108.144,1,2,2,42,0.75,0.07,0.0700000003,0.0000000002980231895
IXAWTPMDMPUGLV-UHFFFAOYSA-N,0.9722,108.144,1,2,2,42,0.75,0.07,0.0700000003,0.0000000002980231895
RSCFQUYOMSFUAW-UHFFFAOYSA-N,-0.3956,128.131,1,2,2,50,0,-0.059999999,-0.05999999866,0.000000000341104596
QTBSBXVTEAMEQO-UHFFFAOYSA-N,2.5188,399.332,11,6,2,120,0.2857142857,-2.697144508,-2.697144508,0.0000000003618101374
CPTBDICYNRMXFX-UHFFFAOYSA-N,0.4198,132.126,0,4,0,48,1,0.02,0.01999999955,0.0000000004470348987
DDUFYKNOXPZZIW-UHFFFAOYSA-N,0.4198,132.126,0,4,0,48,1,0.02,0.01999999955,0.0000000004470348987
RKWGIWYCVPQPMF-UHFFFAOYSA-N,0.4198,132.126,0,4,0,48,1,0.02,0.01999999955,0.0000000004470348987
JUMYIBMBTDDLNG-UHFFFAOYSA-N,1.0816,79.102,0,1,0,30,1,0.75999999,0.7599999905,0.0000000004632559891
DCZRBROKMNUBAE-UHFFFAOYSA-N,-1.7263,132.119,3,3,3,52,0,-0.74000001,-0.7400000095,0.0000000004632569883
NSQYIEOSFPLTJA-UHFFFAOYSA-N,-0.0438,114.192,0,2,2,48,0,0.49000001,0.4900000095,0.0000000004632569883
ABWLRVJYVVQTGQ-BJMVGYQFSA-N,0.2487,180.236,2,3,2,62,0.5,0.105903163,0.1059031636,0.0000000005522840102
GXDALQBWZGODGZ-UHFFFAOYSA-N,0.2487,180.236,2,3,2,62,0.5,0.105903163,0.1059031636,0.0000000005522840102
QTWLWIYUQAAJLY-UHFFFAOYSA-N,0.2487,180.236,2,3,2,62,0.5,0.105903163,0.1059031636,0.0000000005522840102
GXFAIFRPOKBQRV-GHXCTMGLSA-N,-0.0508,186.163,2,3,2,72,0,-0.27000001,-0.2700000107,0.0000000007288359916
LZKVXMYVBSNXER-YZPKDWIXSA-N,1.0594,118.176,5,2,0,50,0,-0.76999998,-0.7699999809,0.0000000009265129775
CHNUNORXWHYHNE-UHFFFAOYSA-N,1.2272,150.181,1,2,2,58,0.5454545455,-0.98000002,-0.9800000191,0.0000000009265139767
HLZKNKRTKFSKGZ-UHFFFAOYSA-N,-2.4724,418.302,11,0,0,126,0,0.378510059,0.3785100579,0.000000001073822031
NUJZVNHAGUEUAQ-UHFFFAOYSA-N,-2.4724,418.302,11,0,0,126,0,0.378510059,0.3785100579,0.000000001073822031
STJLVHWMYQXCPB-DOMZBBRYSA-N,-2.4724,418.302,11,0,0,126,0,0.378510059,0.3785100579,0.000000001073822031
BAPJBEWLBFYGME-UHFFFAOYSA-N,0.3454,86.09,1,2,0,34,0,-0.22,-0.2199999988,0.000000001192093008
BFPYWIDHMRZLRN-SLHNCBLASA-N,0.3454,86.09,1,2,0,34,0,-0.22,-0.2199999988,0.000000001192093008
MCTNRBUJWLUDJG-UHFFFAOYSA-N,0.283,75.067,1,2,0,30,0,-0.22,-0.2199999988,0.000000001192093008
OUCCVXVYGFBXSV-UHFFFAOYSA-N,0.283,75.067,1,2,0,30,0,-0.22,-0.2199999988,0.000000001192093008
WIHMGGWNMISDNJ-UHFFFAOYSA-N,-0.3956,128.131,1,2,2,50,0,-0.06,-0.05999999866,0.000000001341104595
ACRBVLNVNAEIRT-UHFFFAOYSA-N,1.4833,203.282,5,3,1,84,0,-2.165084125,-2.165084124,0.00000000138854972
VVPAATLHWUDQMI-MZIRSVLISA-N,1.4833,203.282,5,3,1,84,0,-2.165084125,-2.165084124,0.00000000138854972
LFSAPCRASZRSKS-ZCFIWIBFSA-N,0.8802,117.148,0,2,1,48,0,0.1,0.1000000015,0.000000001490115989
NTYYDJWPKCQQIB-UHFFFAOYSA-N,0.8802,117.148,0,2,1,48,0,0.1,0.1000000015,0.000000001490115989
GNMJFQWRASXXMS-UHFFFAOYSA-M,1.13888,89.525,1,1,0,28,0,-0.28999999,-0.2899999917,0.000000001655349025
MJEOKLXWKIUJQD-UHFFFAOYSA-N,0.6628,218.205,5,3,3,86,0,-0.28999999,-0.2899999917,0.000000001655349025
AYEOOGDUDIHXQE-UHFFFAOYSA-N,1.1946,203.669,2,3,3,74,0.4615384615,0.691081466,0.6910814643,0.000000001709381969
PPTYJKAXVCCBDU-UHFFFAOYSA-N,1.1946,203.669,2,3,3,74,0.4615384615,0.691081466,0.6910814643,0.000000001709381969
KJRMGWZKDHKBCY-UHFFFAOYSA-N,-2.8054,164.157,0,5,5,66,0,-0.17,-0.1700000018,0.000000001788138998
ICFXSIAFGXAWNF-UHFFFAOYSA-N,3.06794,382.504,7,5,1,150,0.4285714286,-3.727116825,-3.727116823,0.000000001803590166
NZNMSOFKMUBTKW-UHFFFAOYSA-N,3.06794,382.504,7,5,1,150,0.4285714286,-3.727116825,-3.727116823,0.000000001803590166
QXWSVGWYFCBSGK-UNVLYCKESA-N,3.06794,382.504,7,5,1,150,0.4285714286,-3.727116825,-3.727116823,0.000000001803590166
KBHMEHLJSZMEMI-KSYZLYKTSA-N,0.2311,196.202,5,4,2,76,0.4285714286,-0.783500908,-0.7835009098,0.000000001805297911
QFDRTQONISXGJA-UHFFFAOYSA-N,0.2311,196.202,5,4,2,76,0.4285714286,-0.783500908,-0.7835009098,0.000000001805297911
JMMWKPVZQRWMSS-UHFFFAOYSA-N,-2.2996,532.292,8,0,0,130,0.2727272727,0.273849221,0.2738492191,0.000000001916213965
REEUQZUMFVRILK-UHFFFAOYSA-N,-2.2996,532.292,8,0,0,130,0.2727272727,0.273849221,0.2738492191,0.000000001916213965
YFTRBASNPFHPAJ-UHFFFAOYSA-N,-2.2996,532.292,8,0,0,130,0.2727272727,0.273849221,0.2738492191,0.000000001916213965
BRYYFHODWLMSIM-UHFFFAOYSA-N,0.7377,117.148,2,2,1,48,0,-0.30000001,-0.3000000119,0.000000001920928028
AFQYFVWMIRMBAE-UHFFFAOYSA-N,1.1278,131.175,1,2,1,54,0,-0.80000001,-0.8000000119,0.000000001920928971
JTEJPPKMYBDEMY-UHFFFAOYSA-N,0.6731,89.094,2,2,0,36,0,-0.80000001,-0.8000000119,0.000000001920928971
BYDMLFDOUPNUJD-UHFFFAOYSA-M,0.8843,337.379,10,8,2,118,0.2857142857,-0.881696286,-0.8816962838,0.000000002182708014
SBUQZKJEOOQSBV-UHFFFAOYSA-N,0.8843,337.379,10,8,2,118,0.2857142857,-0.881696286,-0.8816962838,0.000000002182708014
AOUFQWSQOJRJEW-UHFFFAOYSA-N,-1.4071,232.121,1,1,1,68,0.5,0.634285567,0.6342855692,0.000000002190978954
BLTOCKUZVXQTPH-UHFFFAOYSA-N,-1.4071,232.121,1,1,1,68,0.5,0.634285567,0.6342855692,0.000000002190978954
MKUXAQIIEYXACX-UHFFFAOYSA-N,-1.4071,232.121,1,1,1,68,0.5,0.634285567,0.6342855692,0.000000002190978954
FGVITAFIUFLYQJ-UHFFFAOYSA-N,2.4709,269.432,10,4,2,98,0,-1.752819655,-1.752819657,0.000000002325740045
GENRUBKMOWZCII-UHFFFAOYSA-M,2.4709,269.432,10,4,2,98,0,-1.752819655,-1.752819657,0.000000002325740045
XENUZQKXLSDMDY-UHFFFAOYSA-N,2.4709,269.432,10,4,2,98,0,-1.752819655,-1.752819657,0.000000002325740045
KPSRODZRAIWAKH-UHFFFAOYSA-N,1.143,192.538,1,1,2,60,0.5454545455,-1.599664328,-1.59966433,0.000000002482479999
MVHSJESGFPGIJJ-UHFFFAOYSA-N,1.143,192.538,1,1,2,60,0.5454545455,-1.599664328,-1.59966433,0.000000002482479999
FQPFAHBPWDRTLU-UHFFFAOYSA-N,1.42554,210.273,4,3,2,84,0.4,-2.449462888,-2.449462891,0.000000002625000217
IGDRIKGAYWASDW-UHFFFAOYSA-N,1.42554,210.273,4,3,2,84,0.4,-2.449462888,-2.449462891,0.000000002625000217
KCCCWBMAYXETHM-UHFFFAOYSA-N,-3.45998,404.19,4,0,0,112,0.5,0.393414435,0.3934144378,0.000000002770842999
KXRZBTAEDBELFD-UHFFFAOYSA-N,-3.45998,404.19,4,0,0,112,0.5,0.393414435,0.3934144378,0.000000002770842999
KGBXLFKZBHKPEV-UHFFFAOYSA-N,0.3871,60.096,0,1,1,26,0,0.43000001,0.4300000072,0.000000002847443004
KMSNYNIWEORQDJ-UHFFFAOYSA-N,0.8961,199.975,2,1,1,36,0,-0.43000001,-0.4300000072,0.000000002847443004
POBJFOWZTSZNQJ-UHFFFAOYSA-N,0.7954,118.176,5,2,1,50,0,-0.41999999,-0.4199999869,0.000000003113022007
JDNAJAXZNLKSTI-UHFFFAOYSA-N,1.7553,162.279,5,2,0,52,0,-0.82999998,-0.8299999833,0.000000003310699048
JTJMJGYZQZDUJJ-UHFFFAOYSA-N,1.5416,98.145,3,1,0,40,0,-0.82999998,-0.8299999833,0.000000003310699048
NBCLKMSYLLWGFG-UHFFFAOYSA-N,0.5953,58.08,1,1,0,24,0,0.57999998,0.5799999833,0.000000003310699048
ALFSJNBVYSQVGG-UHFFFAOYSA-N,1.0113,224.256,6,4,2,88,0.375,-1.717275616,-1.71727562,0.000000003506829938
KLIHWYNSISMOMR-QMMMGPOBSA-N,1.0113,224.256,6,4,2,88,0.375,-1.717275616,-1.71727562,0.000000003506829938
FZYOVNIOYYPUPY-ZTWDQPHTSA-N,2.2586,264.756,1,2,0,96,0.3333333333,-2.566716429,-2.566716433,0.000000003571409835
IKLQOPICWGDGGF-UHFFFAOYSA-N,2.2586,264.756,1,2,0,96,0.3333333333,-2.566716429,-2.566716433,0.000000003571409835
FOANIXZHAMJWOI-UHFFFAOYSA-N,1.0915,196.294,2,2,0,80,0,-1.320241455,-1.320241451,0.000000003736579934
WXURHACBFYSXBI-NRIXXJGXSA-N,1.0915,196.294,2,2,0,80,0,-1.320241455,-1.320241451,0.000000003736579934
POYMPTXRBMLDIL-GZTJUZNOSA-N,3.3728,282.771,3,3,1,104,0.3157894737,-3.598340746,-3.59834075,0.000000003740600274
XBSXQOUEVBSXEI-UHFFFAOYSA-N,3.3728,282.771,3,3,1,104,0.3157894737,-3.598340746,-3.59834075,0.000000003740600274
ARPYQKTVRGFPIS-UHFFFAOYSA-N,3.822,285.274,3,3,1,106,0.7142857143,-3.905033823,-3.905033827,0.000000003827999695
LVHCUONWHLDNDW-ZROIWOOFSA-N,3.822,285.274,3,3,1,106,0.7142857143,-3.905033823,-3.905033827,0.000000003827999695
