Name,Octanol-water partition coefficient,Molecular weight,Number of rotatable bonds,HAcceptors,HDonor,valence Electron,Aromatic Proportion,logS,Label,Difference
SDUIURJVOCHJCO-UHFFFAOYSA-N,0.9554,368.344,2,6,2,124,0.5,0.2572,1.257200003,1.000000003
RBOXVHNMENFORY-UHFFFAOYSA-N,1.0668,203.669,3,3,3,74,0.4615384615,-0.308924931,0.6910814643,1.000006395
HXUAXLUDTCGASZ-UHFFFAOYSA-M,0.195,120.173,0,2,0,42,0,0.920218395,-0.07980690151,1.000025297
JPPLPDOXWBVPCW-UHFFFAOYSA-N,0.195,120.173,0,2,0,42,0,-0.079806903,0.9202184081,1.000025311
MBDMKWJEKDHRRP-UHFFFAOYSA-N,-0.4076,110.134,1,3,0,38,0,0.958106191,-0.04192141443,1.000027605
OSPSWZSRKYCQPF-UHFFFAOYSA-N,-0.4076,110.134,1,3,0,38,0,-0.0419214128,0.9581062198,1.000027633
SRBFZHDQGSBBOR-QTBDOELSSA-N,3.6116,247.769,4,1,1,90,0.7058823529,-2.930148738,-3.930317654,1.000168916
LYKVTAYDCDKKNN-UHFFFAOYSA-N,0.6639,323.353,6,7,1,126,0.2173913043,-3.402466925,-2.402098175,1.00036875
HMMIQMIGJAIOAZ-UHFFFAOYSA-N,4.1134,325.474,6,5,1,124,0,-3.58,-4.580802427,1.000802427
IGQFKXMQIMEIJV-UHFFFAOYSA-N,10.6434,650.56,13,8,0,230,0.7826086957,-7.813287357,-6.812118754,1.001168603
BXNANOICGRISHX-UHFFFAOYSA-N,-1.017,201.697,2,1,1,74,0.4615384615,0.695307021,-0.305927634,1.001234655
IRTZMJWVZQYURE-UHFFFAOYSA-N,3.6236,228.682,0,2,1,78,0.875,-4.580351812,-3.578969911,1.001381901
GNCOVOVCHIHPHP-UHFFFAOYSA-N,3.1477,370.83,0,3,0,98,0,-5.171234853,-4.169828622,1.001406231
TXCGAZHTZHNUAI-UHFFFAOYSA-N,-1.1874,321.158,2,2,0,84,0.4,0.493281269,-0.5082113378,1.001492607
ZPIZOEMTEYVDGD-UHFFFAOYSA-N,4.5739,281.443,9,1,0,112,0.5714285714,-5.025980708,-4.024344814,1.001635894
FVYRUSCZCWSFLT-UHFFFAOYSA-N,2.0249,251.326,5,3,1,100,0.3333333333,-3.135419596,-2.133691645,1.001727951
WJNNTTIXPJJQJD-UHFFFAOYSA-N,2.15506,204.62,2,4,1,68,0.4285714286,-3.358100856,-4.360000134,1.001899278
FRASJONUBLZVQX-UHFFFAOYSA-N,3.7227,326.831,0,4,1,118,0.5217391304,-3.24,-4.2419987,1.0019987
DYKFCLLONBREIL-UHFFFAOYSA-N,-1.1652,580.539,6,14,8,224,0.2926829268,-2.722438715,-3.724601865,1.00216315
LUYQYZLEHLTPBH-UHFFFAOYSA-N,0.43376,253.258,9,5,2,98,0,-0.2275,-1.229796118,1.002296118
KNVQTRVKSOEHPU-UHFFFAOYSA-N,-1.4071,279.121,1,1,1,68,0.5,0.554207488,-0.4482611243,1.002468612
XPEKVUUBSDFMDR-UHFFFAOYSA-N,3.9521,262.397,10,2,1,106,0.3157894737,-3.0765,-4.079256146,1.002756146
HPOUDGQCZNPFSH-UHFFFAOYSA-N,3.1861,262.349,4,2,2,104,0.3157894737,-4.003739061,-3.000895892,1.002843169
JRJBVWJSTHECJK-LUAWRHEFSA-N,-3.2661,56.065,0,1,0,8,0,0.990088732,-0.01357874572,1.003667478
ADVGKWPZRIDURE-UHFFFAOYSA-N,1.3506,151.165,1,2,2,58,0.5454545455,-2.24,-1.236227238,1.003772762
FYGCJWVUNPQAFB-UHFFFAOYSA-N,4.0466,231.424,10,1,0,100,0,-2.969956715,-3.974173435,1.00421672
NTZOUXAZCADJBZ-UHFFFAOYSA-N,2.8958,329.906,0,0,0,42,0.75,-5.3723,-4.367500067,1.004799933
SVYBEBLNQGDRHF-UHFFFAOYSA-N,3.0646,243.693,0,2,0,84,0.7058823529,-5.494743105,-4.489744393,1.004998712
PZPPOCZWRGNKIR-PNVYSBBASA-N,1.3977,186.255,5,2,2,76,0,-2.156164588,-1.151105148,1.00505944
RSBZNKFYPLBYBR-UHFFFAOYSA-N,-0.6594,317.86,6,1,2,118,0.5454545455,-3.173852163,-4.178987343,1.00513518
URJQOOISAKEBKW-UHFFFAOYSA-N,3.7456,484.424,9,7,0,176,0.375,-3.32538479,-4.33060955,1.00522476
HRAKJMXGVYBTRV-UHFFFAOYSA-N,0.49608,342.914,6,1,1,128,0.4166666667,-5.107046635,-4.101687309,1.005359326
PSEGVHKUPXNGGJ-UHFFFAOYSA-N,0.0596,246.327,6,3,0,96,0,-1.737335476,-2.742786737,1.005451261
IMZMKUWMOSJXDT-UHFFFAOYSA-N,1.79064,221.256,3,3,1,86,0.375,-3.387192015,-2.381727938,1.005464077
