Name,Octanol-water partition coefficient,Molecular weight,Number of rotatable bonds,HAcceptors,HDonor,Aromatic Proportion,NumValenceElectrons,logS,Label,Difference
MHUKGVQDAKFWOK-UHFFFAOYSA-N,1.3905,227.304,6,3,2,0,92,-2.527947182,-2.527881598,0.00006558442148
VRQVVMDWGGWHTJ-CQSZACIVSA-N,4.4956,328.481,5,4,0,0.5217391304,122,-4.2199998,-4.219752551,0.0002472486828
BOPIMTNSYWYZOC-VNHYZAJKSA-N,3.92,222.372,1,1,1,0,92,-4.484352554,-4.483631245,0.0007213091022
DLNKOYKMWOXYQA-VXNVDRBHSA-N,1.0672,151.209,2,2,2,0.5454545455,60,-0.005517834,-0.006391372997,0.0008735389973
DLNKOYKMWOXYQA-APPZFPTMSA-N,1.0672,151.209,2,2,2,0.5454545455,60,-0.006391373,-0.005517833866,0.0008735391338
DLNKOYKMWOXYQA-CBAPKCEASA-N,1.0672,151.209,2,2,2,0.5454545455,60,-0.006391373,-0.005517833866,0.0008735391338
YKJYKKNCCRKFSL-MGPQQGTHSA-N,0.5021,265.309,4,5,2,0.3157894737,104,-1.61,-1.61099343,0.0009934299812
WIGLWDYSZRNQOI-UHFFFAOYSA-N,1.7714,234.343,6,2,1,0.3529411765,94,-2.279946874,-2.278839004,0.001107870035
XWNLXQLPBDJQAN-UHFFFAOYSA-L,-4.818,375.39,8,4,4,0,128,-1.597209545,-1.595940205,0.00126933962
FLYYDGHNISORAD-UHFFFAOYSA-N,1.1277,337.336,8,7,0,0.2083333333,130,-2.66712607,-2.668435414,0.001309343837
RZPAKFUAFGMUPI-QESOVKLGSA-N,1.9085,687.868,6,13,3,0,278,-4.646893296,-4.645578734,0.001314561572
PZJWZGWBDMSONK-UHFFFAOYSA-N,1.698,266.293,7,5,0,0.3157894737,104,-2.649385419,-2.650838036,0.001452616941
RTZKZFJDLAIYFH-UHFFFAOYSA-N,1.0428,74.123,2,1,0,0,32,-0.090000004,-0.09148385197,0.001483847969
MFZOSKPPVCIFMT-UHFFFAOYSA-N,3.1572,308.768,2,2,0,0.5454545455,108,-4.137638624,-4.136154721,0.001483903217
OOSYPTIYPDUFES-UHFFFAOYSA-N,2.2838,238.375,4,2,0,0,98,-2.690624437,-2.689112352,0.001512085463
BRUQQQPBMZOVGD-XFKAJCMBSA-N,1.0482,315.369,1,5,1,0.2608695652,122,-1.879621271,-1.881451284,0.00183001314
UXMKOLJFXKKWEQ-UHFFFAOYSA-N,1.8407,160.172,1,2,0,0.5,60,-1.320925163,-1.322868351,0.001943187546
AZGDDQNRNNQAFK-UHFFFAOYSA-N,-1.6174,333.259,5,2,1,0.2857142857,118,-3.24631225,-3.248422893,0.002110643286
UEDPIABBBXACGR-SFQUDFHCSA-N,3.6139,253.301,4,3,0,0.6315789474,96,-4.061214206,-4.058867992,0.002346214433
LEQAKWQJCITZNK-AXHKHJLKSA-N,0.755,563.625,7,11,5,0.3333333333,212,-3.630410908,-3.632898738,0.002487830384
PWFIXEFPEFAERD-UHFFFAOYSA-N,2.0128,295.335,3,5,2,0.2857142857,116,-2.926246859,-2.928935941,0.00268908216
SJLKYVVYUNFNBO-UHFFFAOYSA-N,1.2563,181.264,3,3,1,0.5,64,-1.607016774,-1.604326114,0.002690659643
ZLZWUOKDFLNZFV-UHFFFAOYSA-N,-0.2636,345.914,7,1,1,0.5,130,-4.054664546,-4.057628924,0.002964377655
XNUDZCVMVQKWCS-UHFFFAOYSA-N,1.9213,217.309,7,3,2,0,90,-2.757294137,-2.754297161,0.002996976196
DDMOUSALMHHKOS-UHFFFAOYSA-N,2.6496,170.92,1,0,0,0,50,-3.1199999,-3.116877251,0.003122648931
LORFBSZZGKKTAK-UHFFFAOYSA-N,1.6342,246.307,7,4,2,0,100,-2.653489446,-2.650258552,0.003230894164
PKPLURVGDLZTTR-UHFFFAOYSA-N,1.6342,246.307,7,4,2,0,100,-2.653489446,-2.650258552,0.003230894164
WZJMZKKLJRBDOL-UHFFFAOYSA-N,1.6342,246.307,7,4,2,0,100,-2.653489446,-2.650258552,0.003230894164
YXOLAZRVSSWPPT-UHFFFAOYSA-N,1.988,302.238,1,7,5,0.7272727273,112,-3.0799999,-3.076542727,0.003457172947
KQPCUJSGFVRMQT-UHFFFAOYSA-N,2.3051,312.413,5,3,1,0.4347826087,122,-3.103793976,-3.100241277,0.00355269908
RVBJGSPBFIUTTR-UHFFFAOYSA-N,2.008,178.187,2,3,0,0.4615384615,68,-2.402686899,-2.399122076,0.003564822707
QZAYGJVTTNCVMB-UHFFFAOYSA-N,1.3747,176.219,2,2,3,0.6923076923,68,-0.945022712,-0.9405461328,0.004476579152
XQDQRCRASHAZBA-UHFFFAOYSA-N,2.07618,225.185,3,6,0,0.4,76,-2.971952935,-2.976699275,0.004746340374
ULFCBIUXQQYDEI-UHFFFAOYSA-N,-1.3344,293.707,5,7,7,0.3157894737,108,-0.582548656,-0.5874022135,0.004853557514
