Name,Octanol-water partition coefficient,Molecular weight,Number of rotatable bonds,HAcceptors,HDonor,valence Electron,Aromatic Proportion,logS,Label,Difference
UILOTUUZKGTYFQ-UHFFFAOYSA-N,1.3749,176.219,1,2,0,68,0.4615384615,0.753947292,-1.246120876,2.000068168
BYEFHDZWRALTEN-UHFFFAOYSA-N,0.016,235.259,5,3,0,86,0,-3.407286616,-1.406844648,2.000441968
PVSGXWMWNRGTKE-UHFFFAOYSA-N,3.9453,358.475,15,6,0,146,0,-6.378367614,-4.375945843,2.002421771
WBBHOISPYYYBTC-IDJJGHEZSA-N,2.2401,294.442,5,4,2,106,0,-3.746345201,-1.742461429,2.003883772
TXNREHWFZSEYKZ-UHFFFAOYSA-M,-0.0218,502.52,10,8,4,194,0.3611111111,-5.912278227,-3.908276086,2.004002141
UVTNFZQICZKOEM-UHFFFAOYSA-N,-2.8902,655.839,14,5,2,172,0.2068965517,0.183204099,-1.821627111,2.00483121
IHYJTAOFMMMOPX-LURJTMIESA-N,0.7275,145.161,0,1,0,54,0.9090909091,-2.5417,-0.5361732582,2.005526742
LNMOMAPHKHLJLB-UHFFFAOYSA-N,-1.0666,162.148,1,3,2,60,0.5,-2.546210644,-0.5404852235,2.00572542
KQVQBPSOWVZVQD-UHFFFAOYSA-M,4.8233,377.956,3,3,0,144,0.2307692308,-7.267807629,-5.260965399,2.00684223
VUGCBIWQHSRQBZ-UHFFFAOYSA-N,8.8132,443.755,0,1,0,110,0.619047619,-11.5827,-9.575090013,2.007609987
HHFOOWPWAXNJNY-UHFFFAOYSA-N,4.3382,288.479,6,2,0,118,0.2857142857,-5.072724378,-3.064769036,2.007955342
LGARIVPRHUAOKP-MIXQCLKLSA-N,3.3779,304.217,9,2,1,106,0.3157894737,-3.4,-1.391507983,2.008492017
JCLWQYMAWWJMSX-UHFFFAOYSA-N,3.3779,304.217,9,2,1,106,0.3157894737,-1.391507956,-3.400000095,2.008492139
HNQGTZYKXIXXST-UHFFFAOYSA-N,4.32352,391.84,0,2,2,112,0.7826086957,-4.08795879,-6.096549033,2.008590243
CLPTUIWEBUOUCQ-UHFFFAOYSA-N,3.48522,262.696,3,3,2,92,0.6666666667,-6.450685436,-4.439619682,2.011065754
GEZAXHSNIQTPMM-UHFFFAOYSA-N,1.8502,349.337,3,5,2,132,0.4,-5.64,-3.628852885,2.011147115
IKJZVLQZWUDHFV-UHFFFAOYSA-N,2.2963,591.425,10,4,0,188,0.1818181818,-6.889545925,-4.875767671,2.013778254
JBSLOWBPDRZSMB-FPLPWBNLSA-N,2.4515,479.891,7,9,1,152,0.4,-5.451460763,-3.437476147,2.013984616
KMRNTNDWADEIIX-UHFFFAOYSA-N,-4.2064,281.227,2,1,1,100,0.3529411765,0.550952236,-1.463545479,2.014497715
SBEQUPBZKBGVHE-UHFFFAOYSA-N,5.7358,314.469,4,2,1,126,0.2608695652,-7.400667813,-5.386045297,2.014622516
OCAKLJJBSJLFGA-UHFFFAOYSA-N,6.8283,570.767,5,5,2,228,0,-9.689760328,-7.674780213,2.014980115
KBGDSIVKVKJSJB-UHFFFAOYSA-N,0.0652,238.807,11,4,4,94,0,0.621958403,-1.393518747,2.01547715
YQVZREHUWCCHHX-UHFFFAOYSA-N,5.7509,501.061,8,4,0,154,0,-7.509558903,-5.493566564,2.015992339
XMBJPJHCAJZCLU-UHFFFAOYSA-N,-1.8747,248.713,3,1,1,88,0.7058823529,-0.219602006,-2.236271808,2.016669802
GETQZCLCWQTVFV-UHFFFAOYSA-N,3.2796,229.216,6,3,1,84,0.4,-1.877371346,-3.894136395,2.016765049
PKOFBDHYTMYVGJ-UHFFFAOYSA-N,-0.0175,255.249,3,3,0,90,0.3333333333,-3.331417071,-1.314024317,2.017392754
PBLNHHSDYFYZNC-UHFFFAOYSA-N,-0.7234,268.36,9,6,4,94,0,-2.85,-0.831754885,2.018245115
NPBDWXMKLFBNIW-UHFFFAOYSA-N,1.3521,174.196,6,2,2,70,0,0.5921,-1.426628725,2.018728725
VBIIFPGSPJYLRR-UHFFFAOYSA-M,3.5124,340.176,0,3,0,102,0.7619047619,-6.680445321,-4.659558584,2.020886737
VACCAVUAMIDAGB-UHFFFAOYSA-N,3.5178,353.33,5,6,1,132,0.6153846154,-3.857187469,-5.878627393,2.021439924
MECHNRXZTMCUDQ-RKHKHRCZSA-N,2.8716,399.443,5,6,1,154,0.4482758621,-2.965971057,-0.9440999925,2.021871064
ULTHZYBVLBNQSI-UHFFFAOYSA-N,3.9668,292.334,1,3,1,110,0.7272727273,-2.8399999,-4.861900091,2.021900191
MRMOPGVGWFNHIN-UHFFFAOYSA-N,3.9668,292.334,1,3,1,110,0.7272727273,-4.8638,-2.839999914,2.023800086
YHQRYZGDQCSHFO-UHFFFAOYSA-N,-0.3434,267.281,7,5,2,104,0.3157894737,0.43,-1.594077516,2.024077516
MCBNZMRZUYBCAD-MWMYENNMSA-N,9.1576,450.707,14,2,0,182,0.1818181818,-11.96104738,-9.936943116,2.024104264
FLFJVPPJGJSHMF-UHFFFAOYSA-L,3.2959,264.75,0,1,0,60,0,-1.17979792,-3.204184976,2.024387056
OKDGRDCXVWSXDC-UHFFFAOYSA-N,0.6143,357.231,3,0,0,106,0.8571428571,-0.0189230333,-2.043764158,2.024841124
AHHWIHXENZJRFG-UHFFFAOYSA-N,5.7054,332.5,3,6,0,98,0.9,-4.5218,-6.546930909,2.025130909
ITJPTURSPJESQC-UHFFFAOYSA-N,6.3541,449.465,0,3,1,162,0.8571428571,-5.506567843,-7.532069132,2.025501289
ZCKYMTCEZUCVKI-UHFFFAOYSA-L,1.4081,284.381,3,5,0,106,0,-3.523654219,-1.496605517,2.027048702
KDLRVYVGXIQJDK-AWPVFWJPSA-N,3.1504,224.259,1,1,1,84,0.7058823529,-5.892867985,-3.865626593,2.027241392
