Compound ID,InChIKey,SMILES
A-2326,OAPBZIITNDJWQW-UHFFFAOYSA-N,[Ag].OC(O)=O
A-2667,NTWXWSVUSTYPJH-UHFFFAOYSA-M,[Ag+].[C-]#N
B-762,DKGAVHZHDRPRBM-UHFFFAOYSA-N,[Ag+].CC([O-])C(O)=O
A-5617,AVKUERGKIZMTKX-UHFFFAOYSA-N,[Ag+].CCCCCCCCCCCCCCCCCCCCCC([O-])=O
A-2084,XUPYJHCZDLZNFP-UHFFFAOYSA-N,[Al+3].[Al+3].[O-]C(=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1C2=C3C=C(Br)C(=O)C(=C3Oc4c(Br)c([O-])c(Br)cc24)Br.[O-]C(=O)c5c(Cl)c(Cl)c(Cl)c(Cl)c5C6=C7C=C(Br)C(=O)C(=C7Oc8c(Br)c([O-])c(Br)cc68)Br.[O-]C(=O)c9c(Cl)c(Cl)c(Cl)c(Cl)c9C%10=C%11C=C(Br)C(=O)C(=C%11Oc%12c(Br)c([O-])c(Br)cc%10%12)Br
A-2205,LRXBCDZWNALTBO-UHFFFAOYSA-L,[Al+3].[Al+3].[O-]C(=O)c1ccccc1C2=C3C=C(Br)C(=O)C(=C3Oc4c(Br)c([O-])c(Br)cc24)Br.[O-]C(=O)c5ccccc5C6=C7C=C(Br)C(=O)C(=C7Oc8c(Br)c([O-])c(Br)cc68)Br.[O-]C(=O)c9ccccc9C%10=C%11C=C(Br)C(=O)C(=C%11Oc%12c(Br)c([O-])c(Br)cc%10%12)Br
A-2419,KIOURYUVFMVQEI-UHFFFAOYSA-N,[Al+3].[O-][P]([O-])([O-])=O
A-5498,UWZSHGZRSZICIW-UHFFFAOYSA-N,[Al+3].[O-][P]([O-])(=O)O[P]([O-])(=O)O[P]([O-])([O-])=O
A-2781,RJQXEHRFVKJLJO-UHFFFAOYSA-N,[Al+3].[O-]B([O-])[O-]
A-3150,PDDBTWXLNJNICS-UHFFFAOYSA-N,[Al+3].[O-]C=O.[O-]C=O.[O-]C=O
A-669,GHPGOEFPKIHBNM-UHFFFAOYSA-N,[Al+3].[O-]c1ccc2cc(ccc2c1N=Nc3ccc(cc3)[S]([O-])(=O)=O)[S]([O-])(=O)=O
A-2162,SUSRORUBZHMPCO-UHFFFAOYSA-N,[Al+3].[O-]N(N=O)c1ccccc1.[O-]N(N=O)c2ccccc2.[O-]N(N=O)c3ccccc3
A-3937,MSFLYJIWLHSQLG-UHFFFAOYSA-N,[Al+3].CC([O-])=CC(C)=O.CC([O-])=CC(C)=O.CC([O-])=CC(C)=O
A-3723,PSGPXWYGJGGEEG-UHFFFAOYSA-N,[Al+3].CCCC[O-].CCCC[O-].CCCC[O-]
A-5674,SLZWEMYSYKOWCG-UHFFFAOYSA-N,[Al+3].O[PH]([O-])=O.O[PH]([O-])=O.O[PH]([O-])=O
C8929,RQROCSGRAXVVFN-UHFFFAOYSA-N,[As]
A-6095,SGMHGVVTMOGJMX-UHFFFAOYSA-N,[Au]
A-5851,KMKWGXGSGPYISJ-UHFFFAOYSA-N,[B]
A-4165,WVAKABMNNSMCDK-UHFFFAOYSA-N,[B+3].[Cl-].[Cl-].[Cl-].CCCCCCCCN(C)C
A-686,PFIADAMVCJPXSF-UHFFFAOYSA-N,[Ba++].[O-][B][O-]
A-3100,KYTDPGSAMIDEED-UHFFFAOYSA-N,[Ba++].[O-][N+]([O-])=O.[O-][N+]([O-])=O
A-2568,PGIGZWJIJSINOD-UHFFFAOYSA-N,[Ba++].[O-][S](=O)(=O)c1c(N\N=C\2C(=O)C=Cc3ccccc23)ccc4ccccc14.[O-][S](=O)(=O)c5c(N\N=C\6C(=O)C=Cc7ccccc67)ccc8ccccc58
B-1129,ZJRUTGDCLVIVRD-UHFFFAOYSA-N,[Ba++].[O-]C=O.[O-]C=O
A-962,RZRPTBIGEANTGU-UHFFFAOYSA-N,[Ba++].[O-]P=O.[O-]P=O
B-1144,KVLORZFYGDNPIQ-UHFFFAOYSA-N,[Ba++].CC([O-])=O.CC([O-])=O
A-5112,WFADZGFZNJEISA-UHFFFAOYSA-N,[Ba++].CC(C)(C)CC(C)(C)CC([O-])=O.CC(C)(C)CC(C)(C)CC([O-])=O
A-2567,XXOQQAWGIDQJOO-UHFFFAOYSA-N,[Ba++].Cc1cc(c(N\N=C/2C(=O)C(=Cc3ccccc23)C([O-])=O)cc1Cl)[S]([O-])(=O)=O
A-2101,LRZPQLZONWIQOJ-UHFFFAOYSA-N,[Ba++].Cc1cc(N\N=C\2C(=O)C=Cc3ccccc23)c(cc1Cl)[S]([O-])(=O)=O.Cc4cc(N\N=C\5C(=O)C=Cc6ccccc56)c(cc4Cl)[S]([O-])(=O)=O
A-2062,OGJBAUXBDQIJFS-UHFFFAOYSA-N,[Ba++].Cc1ccc(N\N=C\2C(=O)C(=Cc3ccccc23)C([O-])=O)c(c1)[S]([O-])(=O)=O
A-5832,YPFYOAJCSYWUGO-UHFFFAOYSA-N,[Ba++].CCc1cc(N\N=C/2C(=O)C=Cc3ccccc23)c(cc1Cl)[S]([O-])(=O)=O.CCc4cc(N\N=C/5C(=O)C=Cc6ccccc56)c(cc4Cl)[S]([O-])(=O)=O
A-5130,ZZXARQYSWIVLGM-ICCBSFAUSA-K,[Ba++].CCCCC(CC)C([O-])=O.CCCCC(CC)C([O-])=O
A-4869,JFZVSHAMRZPOPA-UHFFFAOYSA-N,[Ba++].OC(C(O)C([O-])=O)C([O-])=O
A-6092,AXMKZEOEXSKFJI-UHFFFAOYSA-N,[Be]
A-6069,OMIGHNLMNHATMP-UHFFFAOYSA-N,[Be]=O
C4668,USMNOWBWPHYOEA-MRTMQBJTSA-N,[Bi]Oc1cccc2c1nccc2.O.O
A-1923,ARSKJXYLLONUAJ-UHFFFAOYSA-N,[Bi+3].OC(CC([O-])=O)(CC([O-])=O)C([O-])=O
A-5141,DDFGFKGJBOILQZ-UHFFFAOYSA-N,[Br-]
B-4347,RDHHZPRHIKNBBI-UHFFFAOYSA-N,[Br-].[Br-].C1C[n+]2ccccc2c3cccc[n+]13
A-4685,UQMGJOKDKOLIDP-UHFFFAOYSA-N,[Br-].C[N+](C)=C1OCCC1(c2ccccc2)c3ccccc3
A-3817,OKIRBHVFJGXOIS-UHFFFAOYSA-N,[Br-].C[P+](c1ccccc1)(c2ccccc2)c3ccccc3
A-1898,JNQQEDYUWRZNDU-UHFFFAOYSA-N,[Br-].CC[N+](CC)(CC)CC
A-2870,MQWCXKGKQLNYQG-UHFFFAOYSA-N,[Br-].CC[N+]1(C)CCCC1
A-5119,QPIWJVQXEMCELO-UHFFFAOYSA-N,[Br-].CC[NH+](CC)CC
B-2219,ABLLZVRKYUXMHV-UHFFFAOYSA-N,[Br-].CC[NH2+]CC
A-797,LNGAGQAGYITKCW-UHFFFAOYSA-N,[Br-].CC[P+](c1ccccc1)(c2ccccc2)c3ccccc3
A-441,LVVXLDUCGFTWHJ-UHFFFAOYSA-N,[Br-].CCCC[N+](CCCC)(CCCC)CCCC
A-5113,VZTBIJKURDTZBE-UHFFFAOYSA-N,[Br-].CCCC[P+](CCCC)(CCCC)CCCC
A-3,XWEOGMYZFCHQNT-UHFFFAOYSA-N,[Br-].CCCCCCCCCCCCCCCCCC[N+](C)(C)C
A-1007,YMIBJBNQAFRCFJ-DCWIDPHOSA-L,[C-]#[O+]
A-426,UVWBGXXTQBAIOZ-UHFFFAOYSA-N,[Ca++].[Ca++].[Ca++].[O-][P]([O-])([O-])=O.[O-][P]([O-])([O-])=O
A-2613,MBJIQNDBGMOBLT-UHFFFAOYSA-N,[Ca++].[Ca++].[O-][P]([O-])(=O)O[P]([O-])([O-])=O
A-907,BRPSWMCDEYMRPE-UHFFFAOYSA-N,[Ca++].[O-][Mo]([O-])(=O)=O
A-5293,RNTXMYSPASRLFT-UHFFFAOYSA-L,[Ca++].[O-][PH]([O-])=O
A-4149,RUVINXPYWBROJD-UHFFFAOYSA-N,[Ca++].[O-][S]([O-])(=O)=O
B-1515,WFKGWJKGEDFLTH-UHFFFAOYSA-N,[Ca++].[O-][S](=O)(=O)C[S]([O-])(=O)=O
A-2570,ANADDXJINIYFJZ-UHFFFAOYSA-N,[Ca++].[O-][S](=O)(=O)c1c(N\N=C\2C(=O)C=Cc3ccccc23)ccc4ccccc14.[O-][S](=O)(=O)c5c(N\N=C\6C(=O)C=Cc7ccccc67)ccc8ccccc58
A-109,SCKHCCSZFPSHGR-UHFFFAOYSA-N,[Ca++].[O-][Si]([O-])=O
A-3072,JAWYRNYHJJDXHX-UHFFFAOYSA-M,[Ca++].[O-][Sn]([O-])=O
A-5783,IALORYHODRVWKZ-UHFFFAOYSA-N,[Ca++].[O-]C(=O)C1=Cc2ccccc2/C(=N/Nc3ccc4ccccc4c3[S]([O-])(=O)=O)C1=O
A-4026,FMGBDYLOANULLW-UHFFFAOYSA-N,[Ca++].[O-]C(=O)C1CCC(=O)N1
A-2853,VEKIYFGCEAJDDT-UHFFFAOYSA-N,[Ca++].[O-]C(=O)CS
A-4276,CNQRHSZYVFYOIE-UHFFFAOYSA-N,[Ca++].[O-]C=O.[O-]C=O
A-2972,NXBCOPCQMVFRPQ-UHFFFAOYSA-N,[Ca++].[O-]P=O.[O-]P=O
A-5843,JBUAXQJLEVDLMQ-UHFFFAOYSA-N,[Ca++].CC(=O)C(N=Nc1ccc(cc1[N+]([O-])=O)[S]([O-])(=O)=O)C(=O)Nc2ccccc2Cl
A-355,MSRJTTSHWYDFIU-UHFFFAOYSA-N,[Ca++].CC1=NN(c2cccc(c2)[S]([O-])(=O)=O)C(=O)C1N=Nc3cc(Cl)c(Cl)cc3[S]([O-])(=O)=O
A-5780,UXGUHQNYRZMSQI-UHFFFAOYSA-N,[Ca++].Cc1cc(c(N\N=C\2C(=O)C(=Cc3ccccc23)C([O-])=O)cc1Cl)[S]([O-])(=O)=O
A-5546,LDUYZTOYURUHIX-UHFFFAOYSA-N,[Ca++].Cc1ccccc1NC(=O)CC(=O)CN=Nc2ccc(cc2[N+]([O-])=O)[S]([O-])(=O)=O.Cc3ccccc3NC(=O)CC(=O)CN=Nc4ccc(cc4[N+]([O-])=O)[S]([O-])(=O)=O
A-3364,BJZIBODCUPQTSW-UHFFFAOYSA-N,[Ca++].CCC([O-])=O.CCC([O-])=O
A-3199,OMLWQIBXAJLLRC-UHFFFAOYSA-N,[Ca++].CCCCC(CC)C([O-])=O.CCCCC(CC)C([O-])=O
A-1450,WOXFMYVTSLAQMO-UHFFFAOYSA-N,[Ca++].CCCCCCC(O)CCCCCCCCCCC([O-])=O.CCCCCCC(O)CCCCCCCCCCC([O-])=O
A-4644,VAMXMNNIEUEQDV-UHFFFAOYSA-N,[Ca++].CCCCCCCCC([O-])=O.CCCCCCCCC([O-])=O
A-1451,CYDZMDOLVUBPNL-UHFFFAOYSA-N,[Ca++].CCCCCCCCCCCCCCCCCC([O-])=O.CCCCCCCCCCCCCCCCCC([O-])=O
A-4171,XDXCFDPDYZSCAG-AFHMRPNKSA-N,[Ca++].CCO[P]([O-])(=O)Cc1cc(c(O)c(c1)C(C)(C)C)C(C)(C)C.CCO[P]([O-])(=O)Cc2cc(c(O)c(c2)C(C)(C)C)C(C)(C)C
A-5894,POQDXIFVWVZVML-UHFFFAOYSA-N,[Ca++].COc1ccc(NC(=O)C2=Cc3ccccc3/C(=N/Nc4cc(ccc4C)C(=O)Nc5cccc(c5)[S]([O-])(=O)=O)C2=O)cc1.COc6ccc(NC(=O)C7=Cc8ccccc8/C(=N/Nc9cc(ccc9C)C(=O)Nc%10cccc(c%10)[S]([O-])(=O)=O)C7=O)cc6
A-3345,WJCNZQLZVWNLKY-UHFFFAOYSA-N,[Ca++].N[S]([O-])(=O)=O.N[S]([O-])(=O)=O
A-2906,XPNGNIFUDRPBFJ-UHFFFAOYSA-N,[Ca++].NC#N
A-731,IBZZDPVVVSNQOY-UHFFFAOYSA-N,[Ca++].O[C@H]([C@@H](O)C(O)=O)C(O)=O
A-4909,GYUVMLBYMPKZAZ-UHFFFAOYSA-N,[Ca++].O[P]([O-])([O-])=O
A-2029,LEONUFNNVUYDNQ-UHFFFAOYSA-N,[Ca++].O[PH]([O-])=O.O[PH]([O-])=O
A-5348,XOBKSJJDNFUZPF-UHFFFAOYSA-N,[Ca++].OCC1OB(O)OC1C(O)C(O)C([O-])=O.OCC2OB(O)OC2C(O)C(O)C([O-])=O
A-1472,IMEVJVISCHQJRM-UHFFFAOYSA-N,[CaH2].O=[Zr]
A-5831,WFVUIONFJOAYPK-SDNWHVSQSA-N,[Cd]=[Te]
A-1825,HPRGYUWRGCTBAV-UHFFFAOYSA-N,[Cd++].[O-]C([O-])=O
A-3497,LCXXNKZQVOXMEH-UHFFFAOYSA-N,[Cd++].O[N+]([O-])=O.O[N+]([O-])=O
A-1093,HNNWFOKEOYHSCW-UHFFFAOYSA-N,[Ce+3].[Ce+3].[O-]C([O-])=O.[O-]C([O-])=O.[O-]C([O-])=O
A-5397,WGOWCPGHOCIHBW-UHFFFAOYSA-N,[Cl-].[Cl-].[Cl-].[Cl-].[Pd++].[H+].[H+]
A-3053,VAUVEZMZAPNZOT-UHFFFAOYSA-N,[Cl-].[Cl-].[Cl-].[Cr+3]
A-3331,VOIZNVUXCQLQHS-UHFFFAOYSA-N,[Cl-].[Cl-].[Cl-].[Fe+3]
A-5357,TVCBSVKTTHLKQC-UHFFFAOYSA-M,[Cl-].[Cl-].[Cl-].[In+3]
A-3421,IDQNBVFPZMCDDN-UHFFFAOYSA-N,[Cl-].[Cl-].[Co++]
A-3340,UTEQVEMDYYOJGM-UHFFFAOYSA-N,[Cl-].[Cl-].[Ni++]
A-3460,SOYKEARSMXGVTM-HNNXBMFYSA-N,[Cl-].[Cl-].[Pd++]
A-2956,BCYNJKQQXIODNZ-UHFFFAOYSA-N,[Cl-].[Cl-].[Sn++]
A-3641,LNIMMWYNSBZESE-UHFFFAOYSA-N,[Cl-].[Cl-].[Zn++]
B-4346,GJYYXSDOKGEWNX-UHFFFAOYSA-N,[Cl-].[Cl-].C[n+]1ccc(cc1)c2cc[n+](C)cc2
A-5346,ALHUZKCOMYUFRB-UHFFFAOYSA-N,[Cl-].[Cs+]
A-740,SBDAPZFOTCURRM-UHFFFAOYSA-K,[Cl-].[Cu+]
A-760,JQMAWYRGSOSWNJ-UHFFFAOYSA-N,[Cl-].[NH3+]c1cc(cc(Cl)c1O)[N+]([O-])=O
C9871,NLYNUTMZTCLNOO-UHFFFAOYSA-N,[Cl-].[NH4+]
A-3239,ZDXPYRJPNDTMRX-VKHMYHEASA-N,[Cl-].C(c1ccccc1)[P+](c2ccccc2)(c3ccccc3)c4ccccc4
A-5336,RLJMLMKIBZAXJO-UHFFFAOYSA-N,[Cl-].C[N+](C)(C)C
A-1611,DAJXGDMBDLXAAP-UHFFFAOYSA-N,[Cl-].C[N+](C)(C)c1ccc2C=CC(=O)C(=N/Nc3ccc(N)c(c3)[N+]([O-])=O)\c2c1
A-927,ZJRAAAWYHORFHN-UHFFFAOYSA-N,[Cl-].C[N+](C)(C)c1ccc2ccc(O)c(N=Nc3ccc(N)cc3)c2c1
A-989,PIVQQUNOTICCSA-UHFFFAOYSA-N,[Cl-].C[N+](C)(C)c1ccccc1
A-3159,DHIFEVBBJSAIAC-UHFFFAOYSA-N,[Cl-].C[N+](C)(C)CC(O)CCl
A-2812,TXXHDPDFNKHHGW-CCAGOZQPSA-N,[Cl-].C[N+](C)(C)CC1CO1
D-215,YPRUUTYWPBBBGA-UHFFFAOYSA-N,[Cl-].C[N+](C)(C)CCCl
A-4967,OLPWJTQWWFWEFS-UHFFFAOYSA-L,[Cl-].C[N+](C)=CCC(O)CC(N)=O
A-3819,UFFRSDWQMJYQNE-UHFFFAOYSA-N,[Cl-].C[n+]1ccccc1
B-2610,PKTSCJXWLVREKX-UHFFFAOYSA-N,[Cl-].C[NH+](C)C(CSC(N)=O)CSC(N)=O
A-1853,QMYXIDFAHHRUHP-UHFFFAOYSA-N,[Cl-].C[NH3+]
A-5225,ZCUJYXPAKHMBAZ-UHFFFAOYSA-N,[Cl-].CC(C)(C)CC(C)(C)c1ccc(OCCOCC[N+](C)(C)Cc2ccccc2)cc1
A-1317,JJWLVOIRVHMVIS-UHFFFAOYSA-N,[Cl-].CC[N+](CC)(CC)Cc1ccccc1
B-974,UZKWTJUDCOPSNM-UHFFFAOYSA-N,[Cl-].Cc1cc2nc3c(C)c(N)ccc3[n+](c4ccccc4)c2cc1N
B-83,PSGCQDPCAWOCSH-BOURZNODSA-N,[Cl-].Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1
A-4836,WMFOQBRAJBCJND-UHFFFAOYSA-M,[Cl-].CCCCCCCCCC[N+](C)(C)CCCCCCCCCC
A-2397,BHHGXPLMPWCGHP-UHFFFAOYSA-N,[Cl-].CCCCCCCCCCCC(=O)OCC[N+](C)(C)C
A-224,HQDAJGNZGNZGCO-UHFFFAOYSA-N,[Cl-].CCCCCCCCCCCC[n+]1ccccc1
A-2881,RBEFRYQKJYMLCC-UHFFFAOYSA-N,[Cl-].CCCCCCCCCCCCCC[N+](C)(C)Cc1ccccc1
A-4885,WIRVQQCUKDPURA-UHFFFAOYSA-N,[Cl-].CCCCCCCCCCCCCC[N+](C)(C)CCCCCCCCCCCCCC
A-714,ZOZIRNMDEZKZHM-UHFFFAOYSA-N,[Cl-].CCCCCCCCCCCCCCCCCC[N+](C)(C)C
A-436,SKIHGKNFJKJXPX-UHFFFAOYSA-N,[Cl-].CCCCCCCCCCCCCCCCCC[NH+](C)C
A-5444,FFGHLLOLFQHABK-UHFFFAOYSA-L,[Cl-].CCN(CC)c1ccc(cc1)/C=C(C#N)/C(=O)OCCC[N+](C)(C)CCOC(=O)\C(=C\c2ccc(cc2)N(CC)CC)C#N
A-4374,NQMRYBIKMRVZLB-UHFFFAOYSA-N,[Cl-].CCN(CC)c1ccc2C=C(C(=O)Oc2c1)c3n(C)c4ccccc4[n+]3C
A-4394,ACWBQPMHZXGDFX-UHFFFAOYSA-N,[Cl-].CCN(CC[N+](C)(C)CC(C)O)c1ccc(cc1)N=Nc2ccc(cc2Cl)[N+]([O-])=O
A-5304,GDLUURVRLLHAQO-UHFFFAOYSA-N,[Cl-].CCN(CCC[NH+](C)C)C#N
A-3998,YYRMJZQKEFZXMX-UHFFFAOYSA-L,[Cl-].CCOC(=O)c1ccccc1c2c3ccc(cc3[o+]c4cc(ccc24)N(CC)CC)N(CC)CC
B-2051,YTFVRYKNXDADBI-SNAWJCMRSA-N,[Cl-].Cl/C=C/C[N+]12CN3CN(CN(C3)C1)C2
A-3622,SXHQUGJSTGOXMD-UHFFFAOYSA-N,[Cl-].CN(C)[C@H]1[C@@H]2C[C@@H]3[C@H](O)c4c(Cl)ccc(O)c4C(=C3C(=O)[C@]2(O)C(=O)\C(=C(N)/O)C1=O)O.[H+]
B-356,JAVZALBKNIHSLL-UHFFFAOYSA-N,[Cl-].CN(C)c1ccc2nc3cc(C)c(N)cc3[s+]c2c1
B-103,DNIAPMSPPWPWGF-UHFFFAOYSA-N,[Cl-].CN(C)c1ccc2nc3ccc(cc3[s+]c2c1)N(C)C
A-4108,BFPYWIDHMRZLRN-SLHNCBLASA-N,[Cl-].CN[C@@H](C)[C@H](O)c1ccccc1.[H+]
A-3320,UFYJXIFCPOCDND-UHFFFAOYSA-L,[Cl-].CN1C[NH+](C=C)C=C1
A-3278,OEYHHMLIRPBEEB-UHFFFAOYSA-N,[Cl-].Cn1c2ccccc2c(C=CC3=[N+](C)c4ccccc4C3(C)C)c1c5ccccc5
B-106,BSVGCJGACKDNDR-JYRVWZFOSA-N,[Cl-].COC(C[Hg+])CNC(N)=O
A-5290,XEBWQGVWTUSTLN-UHFFFAOYSA-M,[Cl-].COC[P+](c1ccccc1)(c2ccccc2)c3ccccc3
A-4342,VJXRKZJMGVSXPX-UHFFFAOYSA-N,[Cl-].N[C@@H](Cc1[nH]cnc1)C(O)=O.[H+]
A-2826,NJESAXZANHETJV-UHFFFAOYSA-N,[Cl-].N[C@@H](CCCN=C(N)N)C(O)=O.[H+]
A-3325,KAUQJMHLAFIZDU-UHFFFAOYSA-N,[Cl-].N[C@@H](CS)C(O)=O.[H+]
A-5209,XIRHLBQGEYXJKG-UHFFFAOYSA-H,[Cl-].NC(N)=O.OC[P+](CO)(CO)CO
A-5231,CFCYTEUETQNNHM-UHFFFAOYSA-N,[Cl-].NCCCC[C@H](N)C(O)=O.[H+]
B-743,ANRCRHLXUCJAKV-UHFFFAOYSA-N,[Cl-].OC[P+](CO)(CO)CO
A-3164,NUPSHWCALHZGOV-UHFFFAOYSA-N,[Cl].[Cl].[Rh].[Rh].C\1C\C=C/CC\C=C1.C\2C\C=C/CC\C=C2
A-3330,QBSVEFGWBSANTE-UHFFFAOYSA-N,[Cl].[Fe].[O-][S]([O-])(=O)=O
A-5510,YFBPRJGDJKVWAH-UHFFFAOYSA-N,[Cl].[Rh].c1ccc(cc1)P(c2ccccc2)c3ccccc3.c4ccc(cc4)P(c5ccccc5)c6ccccc6.c7ccc(cc7)P(c8ccccc8)c9ccccc9
A-4216,OFSLKOLYLQSJPB-UHFFFAOYSA-N,[Cl].COc1cc(CN)ccc1O
A-5686,ICEUMJPAMUZPEV-UHFFFAOYSA-N,[Co]
A-3979,KAATUXNTWXVJKI-UHFFFAOYSA-N,[Co++].[Co++].[Co++].OC(CC([O-])=O)(CC([O-])=O)C([O-])=O.OC(CC([O-])=O)(CC([O-])=O)C([O-])=O
