Name,Compound ID,InChIKey,SMILES,logS,logP,MW
,C2826,AABQVBFXZKSBOW-UHFFFAOYSA-N,CCOC(=O)c1c(C)ccc(c1OCC(=O)OCCN1CCCCC1)C(C)C,-5.318582792,3.6409,391.501
,C4684,AABXRENNINHJOR-UHFFFAOYSA-N,CCN(CCOC(=O)CC(c1ccccc1)(c1ccccc1)O)CC.Cl,-3.615017899,3.9996,377.905
,C435,AAEVYOVXGOFMJO-UHFFFAOYSA-N,CSc1nc(NC(C)C)nc(n1)NC(C)C,-4.0999999,2.3801,241.356
,C9865,AAFJXZWCNVJTMK-UHFFFAOYSA-N,OC(C(C1OC1)O)C1OC1,0.833745836,-1.4942,146.141
,C4017,AAMVKUKGQPPIMG-NEPJUHHUSA-N,OC[C@@H](CN(c1c(I)c(C(=O)NC(CO)CO)c(c(c1I)N([C@H](CO)O)C(=O)C)I)C(=O)C)O,-4.100770587,-0.656,821.138
,C1921,AANKDJLVHZQCFG-KVHNBARJSA-N,O[C@H]1CC[C@]2(C(=CC[C@@H]3[C@@H]2C[C@H](O)[C@]2([C@H]3C[C@H]3[C@@H]2[C@H](C)[C@@H]2N3C[C@H](CC2)C)C)C1)C,-7.695983828,4.5637,413.636
,C8162,AANLIOPOVSJZLY-UHFFFAOYSA-N,[O-][N+](=O)c1nccn1CC(CCl)O,-1.218897311,0.9142,205.599
,C1402,AANUQVPVSJJCRI-UHFFFAOYSA-N,Clc1cnc2c(n1)ncnc2,-0.87,1.0732,166.568
,C6277,AAOQURPCQWSPJM-UHFFFAOYSA-N,CC(C(C(C)C)(COC(=O)N)COC(=O)N)C,-2.549491968,2.876,246.303
,C506,AAOVKJBEBIDNHE-UHFFFAOYSA-N,Clc1ccc2c(c1)C(=NCC(=O)N2C)c1ccccc1,-3.75,2.6544,284.74
,C6992,AAPPQBJWIDZNGZ-MDZDMXLPSA-N,O=C1C=CC=C/C/1=C\Nc1ccccc1O,-2.090814404,2.4561,213.232
,C7967,AAQFEENIXHFFDP-UHFFFAOYSA-N,OCC(COc1ccccc1OC)(CO)CO,-1.397529698,0.0373,242.268
,C3566,AAQRTKVNHBMDLP-UHFFFAOYSA-N,CC(CCOc1ccc(cc1)C(=O)CCN1CCCCC1)C.Cl,-4.470658422,4.9101,339.9
,C4620,AAVUTVAWYYKIJW-UHFFFAOYSA-N,CC([NH+]1CCCC1)CN1C(=O)C(C)Oc2c1cc(Cl)cc2.OC(=O)C(=O)[O-],-3.656316035,0.9762,398.838
,C588,AAXVEMMRQDVLJB-NGGQNULTSA-N,OCC(=O)[C@@]1(O)CC[C@@H]2[C@]1(C)C[C@@H](O)[C@]1([C@H]2CCC2=CC(=O)CC[C@]12C)F,-3.4300001,1.8737,380.45
,C7954,AAYHAFZXFMIUSN-UHFFFAOYSA-N,NS(=O)(=O)C1CCCCC1,-1.413472734,2.3887,163.238
,C2531,AAZHUVOGSCDTKW-UHFFFAOYSA-N,OC(=O)C(=O)[O-].COc1ccc2c(c1)n(CCC[NH+](C)C)c1c2ccc(c1)Cl,-5.779501512,0.812,406.86
,C9058,ABBQHOQBGMUPJH-UHFFFAOYSA-M,[O-]C(=O)c1ccccc1O.[Na+],-0.107492169,-0.2443,160.103
,C3049,ABEJUCOJRRLTMS-UHFFFAOYSA-L,NC1CCCCC1.NC1CCCCC1.[Cl-].[Cl-].[Pt+2],-5.046698181,-2.0383,464.332
,C5918,ABFRBTDJEKZSRM-UHFFFAOYSA-N,OC(C(Cl)(Cl)Cl)c1ccccc1,-2.76880184,3.0902,225.5
,C3386,ABGIIXRNMHUKII-DHZHZOJOSA-N,Clc1ccc(cc1)/C=C/C(=O)c1ccccc1,-4.644710666,4.2361,242.7
,C8002,ABGJIKXMJUSARA-UHFFFAOYSA-N,OCCn1c(CC)cnc1[N+](=O)[O-],-1.359116097,0.8692,185.181
,C977,ABICJYZKIYUWEE-UHFFFAOYSA-N,O=C1NC(=O)C(C(=O)N1)[N+](=O)[O-],-2.28,-0.8215,173.084
,C4426,ABIRUZQLXKXPPK-UHFFFAOYSA-M,CCOCC(Oc1ccccc1)(OC(=O)CCC(=O)[O-])C.[Na+],-3.782678686,0.8914,318.298
,C3310,ABQKHKWXTUVKGF-UHFFFAOYSA-N,S=C=Nc1ccc(cc1)C,-4.721247778,2.7293,149.213
,C7649,ABSDZQDZDHJMPX-UHFFFAOYSA-N,CCCCOCC(COCCCC)O,-1.626342493,1.9807,204.306
,C8454,ABTXGJFUQRCPNH-UHFFFAOYSA-N,CCN(CCNC(=O)c1ccc(cc1)N)CC.Cl,-0.937717357,3.1145,271.786
,C5568,ABUKMOCUMIPDHV-UHFFFAOYSA-N,OC(=O)C(c1ccccc1)Oc1ccccc1,-3.000470212,2.8913,228.243
,C3918,ABVVEAHYODGCLZ-UHFFFAOYSA-N,CCCCCCCCCCCCCN,-4.161699215,4.9564,199.376
,C9179,ABWLRVJYVVQTGQ-BJMVGYQFSA-N,NC(=S)N/N=C/c1cccnc1,0.105903163,1.3399,180.23
,C6617,ABZLDANJLQFTLS-UHFFFAOYSA-N,CCc1cnc(n1CCOC(=O)CCC(=O)O)[N+](=O)[O-],-2.334660872,1.2849,285.253
,C2741,ACAOEWIACGUWHC-UHFFFAOYSA-N,CC[NH+](CCNC(=O)C1c2ccccc2c2c1cccc2)CC.[Cl-],-5.447766676,-0.7653,344.878
,C4835,ACAZKHULUUVWCY-JFGNBEQYSA-N,CCCCCC(=O)N[C@@H]1C(=O)N2[C@@H]1SC([C@@H]2C(=O)O)(C)C,-3.516842956,1.5272,314.4
,C1163,ACBMYYVZWKYLIP-UHFFFAOYSA-N,CCCCCC(O)(C)C,-1.72,2.3376,130.228
,C3612,ACEUSLHTMXRCST-UHFFFAOYSA-L,C[N+]1(CCC[N+]2(C)CCCC2)CC2CCCC(C1)C2.[I-].[I-],-4.423982713,-3.1909,520.274
,C6201,ACFHHZJOAUZSJU-XBXARRHUSA-N,CC(=O)N/N=C/c1ccc(o1)[N+](=O)[O-],-2.595826755,1.5719,197.148
,C5139,ACFSLNOJYWCHEO-UHFFFAOYSA-N,OCCN1CCN(CC1)CC(COc1c(ccc(c1C(=O)OC)C)C(C)C)O,-3.284306346,1.1304,394.505
,C4896,ACGUYXCXAPNIKK-UHFFFAOYSA-N,Clc1cc(Cl)c(c(c1O)Cc1c(O)c(Cl)cc(c1Cl)Cl)Cl,-3.463347924,6.609,406.904
